combination,caught,missed,blocked,F1,note
Word list alone,170,8,26,0.9091,
Fused detector alone (GPT-2),174,4,114,0.7468,
Fused detector alone (Qwen),169,9,31,0.8942,
Word list or GPT-2 flags,175,3,123,0.7353,
Word list or Qwen flags,173,5,51,0.8607,
Majority of all three,172,6,42,0.8776,
Word list and GPT-2 both flag,169,9,17,0.9286,
Word list and Qwen both flag,166,12,6,0.9486,
Mean of scores,167,11,11,0.9382,
Higher of the two scores,168,10,16,0.9282,
Lower of the two scores,169,9,28,0.9013,
Weighted mean (w=0.35 lexical),168,10,10,0.9438,weight and threshold from validation
